id,segment_id,scene_id,start,end
VLInjyogciw_0,0,4,0:00:12,0:00:13
@placesunleashed-7283971258755140869_0,0,2,0:00:06,0:00:14
GwcXYTX2GmA_0,0,2,0:00:07,0:00:08
NSeq-nVSY_E_2,0,2,0:09:04,0:09:04
WpbB_swXHkc_1,0,2,0:05:30,0:05:31
_hODR1cR9lo_0,0,2,0:00:01,0:00:01
1D9TgBrW6Sw_2,0,0,0:20:40,0:20:45
1D9TgBrW6Sw_2,1,1,0:20:45,0:20:46
wvfctNd-Aio_2,0,2,0:03:53,0:03:53
to7vCdkLi4s_2,0,1,0:12:00,0:12:12
@tiffycooks-6940704678569053446_0,0,0,0:00:07,0:00:07
@tiffycooks-6940704678569053446_0,1,1,0:00:10,0:00:29
bXRuqcmTIuk_0,0,5,0:04:21,0:04:23
F7RSW-2rF4w_0,0,3,0:02:22,0:02:29
F7RSW-2rF4w_0,1,3,0:02:49,0:02:56
F7RSW-2rF4w_0,2,3,0:04:48,0:05:00
F7RSW-2rF4w_0,3,3,0:05:16,0:05:25
F7RSW-2rF4w_0,4,3,0:05:40,0:05:41
F7RSW-2rF4w_0,5,3,0:06:19,0:06:25
F7RSW-2rF4w_0,6,3,0:07:57,0:08:02
F7RSW-2rF4w_0,7,4,0:00:03,0:00:17
F7RSW-2rF4w_0,8,4,0:03:30,0:03:40
5tN9hyfdkaE_0,0,1,0:07:45,0:07:45
LfUsGv-ESbc_2,0,4,0:32:02,0:32:14
l3vxOGgAM2g_0,0,0,0:00:00,0:00:08
T57jVsvVVR0_1,0,2,0:02:51,0:02:52
hXFfPjytMo0_0,0,2,0:00:01,0:00:05
vE0faFD1F_g_0,0,1,0:00:01,0:00:02
I-yg_3yx6iA_0,0,2,0:02:00,0:02:01
md3LVlEzFBU_0,0,1,0:03:31,0:03:32
LfUsGv-ESbc_1,0,7,0:18:06,0:18:10
sEiyR7-0FOA_1,0,3,0:30:58,0:30:58
YebUIUOCo94_2,0,2,0:38:29,0:38:36
3t_Knk7FWT8_0,0,2,0:00:06,0:00:07
FnKDgC9aNu0_0,0,1,0:14:11,0:14:11
cceTeD4JADU_1,0,4,0:00:07,0:00:08
@healthfood-6867204066108329221_0,0,2,0:00:08,0:00:09
IGmuaY1jB1w_2,0,1,0:15:41,0:16:30
bAGhXcYc0o4_2,0,2,0:05:08,0:05:10
ze66pbJYr18_0,0,1,0:05:09,0:05:10
pZ-9hGQNHuA_0,0,2,0:00:10,0:00:11
-Xg2-SUq6wo_1,0,3,0:05:26,0:05:26
