id,segment_id,scene_id,start,end
003-2,0,0,0:49,0:55
003-2,1,1,1:45,1:50
004-1,0,0,0:01,0:07
005-3,0,0,1:25,1:37
005-3,1,1,1:35,1:37
005-3,2,2,0:11,0:17
006-2,0,0,1:04,1:15
007-2,0,0,0:23,0:27
007-2,1,1,0:29,0:31
007-3,0,0,1:02,1:02
007-3,1,1,1:07,1:07
008-2,0,0,0:03,0:14
008-2,1,1,0:29,0:36
008-2,2,2,0:29,0:36
008-2,3,3,0:56,1:02
008-2,4,4,1:00,1:06
008-2,5,5,1:02,1:03
008-2,6,6,1:03,1:12
009-2,0,0,0:41,0:45
010-2,0,0,0:33,0:36
012-1,0,0,0:18,0:21
012-2,0,0,0:01,0:09
012-2,1,1,0:10,0:14
013-1,0,0,0:13,0:16
013-3,0,0,0:50,0:55
014-1,0,0,0:08,0:11
014-2,0,0,0:00,1:50
015-1,0,0,0:00,0:03
015-1,1,0,0:10,0:14
015-1,2,0,0:19,0:28
015-1,3,0,0:33,0:42
015-1,4,0,0:56,0:57
015-1,5,0,1:05,1:11
015-1,6,0,1:21,1:23
015-1,7,0,1:30,1:35
015-2,0,0,0:59,1:03
015-2,1,0,0:15,0:18
015-2,2,1,0:00,0:03
015-2,3,1,0:12,0:14
015-2,4,1,0:24,0:28
015-2,5,1,0:33,0:42
015-2,6,1,1:04,1:10
015-2,7,1,1:29,1:33
016-1,0,0,0:07,0:10
017-1,0,0,0:28,0:33
017-1,1,0,0:46,0:49
017-1,2,0,1:08,1:16
017-1,3,0,1:23,1:29
018-1,0,0,0:50,1:01
018-1,1,1,1:10,1:18
019-1,0,0,1:37,1:47
019-3,0,0,1:37,1:41
020-3,0,0,1:01,1:03
021-3,0,0,0:11,0:18
021-3,1,0,0:26,0:36
021-3,2,0,1:06,1:13
022-1,0,0,0:22,0:29
022-2,0,0,0:10,0:15
023-2,0,0,1:01,1:09
024-2,0,0,0:34,0:45
027-1,0,0,0:16,0:29
027-2,0,0,0:00,0:02
027-2,1,1,1:45,1:47
028-3,0,0,0:00,0:23
030-1,0,0,0:12,0:14
032-1,0,0,0:18,0:29
035-2,0,0,0:54,0:59
036-1,0,0,0:30,0:57
036-1,1,1,0:57,1:15
036-1,2,2,1:16,1:34
037-1,0,0,1:04,1:09
037-1,1,1,1:37,1:38
037-1,2,2,1:34,1:38
037-3,0,0,0:55,1:12
037-3,1,1,1:13,1:27
037-3,2,2,1:28,1:38
039-1,0,0,0:30,0:34
040-2,0,0,1:00,1:07
041-2,0,0,0:05,0:12
041-2,1,0,0:15,0:19
041-2,2,0,0:23,0:30
041-2,3,0,0:56,0:59
042-3,0,0,0:09,0:15
043-1,0,0,0:06,0:20
043-1,1,1,0:26,0:42
043-3,0,0,0:27,0:54
043-3,1,0,0:58,1:03
043-3,2,0,1:11,1:29
043-3,3,0,1:30,1:47
044-1,0,0,0:58,1:04
044-1,1,0,1:06,1:19
044-2,0,0,0:00,0:18
044-3,0,0,0:57,1:20
047-3,0,0,0:09,0:41
049-2,0,0,0:00,0:26
050-1,0,0,1:02,1:17
050-2,0,0,1:20,1:23
050-3,0,0,0:12,0:26
051-1,0,0,0:06,0:18
051-1,1,1,1:13,1:17
051-1,2,2,1:17,1:24
052-1,0,0,0:22,0:28
052-2,0,0,0:40,0:52
052-3,0,0,1:17,1:23
053-1,0,0,0:00,0:23
053-1,1,0,0:30,0:39
053-1,2,0,0:45,0:54
053-1,3,0,1:12,1:31
053-2,0,0,0:00,0:07
053-2,1,0,0:29,0:39
053-2,2,0,0:52,0:54
053-2,3,0,1:21,1:31
055-2,0,0,0:30,0:41
056-3,0,0,0:39,0:41
057-1,0,0,0:20,1:00
057-2,0,0,0:25,0:39
057-2,1,1,0:44,0:52
057-2,2,2,0:54,1:39
058-1,0,0,0:42,0:54
058-2,0,0,0:10,0:22
058-3,0,0,1:18,1:33
059-2,0,0,0:00,0:05
059-2,1,0,0:09,0:53
059-2,2,0,1:07,1:19
059-2,3,0,1:21,1:33
060-2,0,0,0:03,0:08
060-2,1,1,0:52,1:01
060-2,2,2,0:52,1:01
060-2,3,2,1:09,1:38
060-3,0,0,0:21,0:35
060-3,1,1,0:43,0:55
060-3,2,2,1:31,1:41
062-1,0,0,0:10,0:13
062-1,1,1,0:26,0:30
062-1,2,2,0:33,0:40
062-1,3,3,0:42,0:54
062-1,4,4,1:01,1:09
062-1,5,5,1:12,1:23
062-2,0,0,0:15,0:19
062-2,1,1,0:21,0:23
062-2,2,2,0:26,0:30
062-3,0,0,1:17,1:21
063-1,0,0,0:00,0:10
063-2,0,0,0:20,0:39
064-3,0,0,0:34,0:39
064-3,1,0,1:15,1:21
065-2,0,0,0:07,0:08
065-2,1,0,0:15,0:44
065-2,2,0,0:49,0:58
066-3,0,0,0:27,0:32
067-3,0,0,1:00,1:12
068-2,0,0,0:16,0:42
069-1,0,0,0:13,0:19
071-1,0,0,0:28,0:30
071-2,0,0,0:35,0:40
072-2,0,0,0:35,0:45
073-3,0,0,0:00,0:03
073-3,1,0,0:30,0:40
073-3,2,0,1:13,1:16
075-1,0,0,0:15,0:21
076-2,0,0,0:27,0:31
077-1,0,0,0:25,0:31
078-1,0,0,0:10,0:12
078-2,0,0,0:36,0:37
079-1,0,0,0:00,0:01
079-1,1,1,0:02,0:03
079-1,2,2,0:07,0:07
079-2,0,0,0:36,0:39
080-1,0,0,0:19,0:22
080-1,1,0,0:31,0:34
080-2,0,0,0:18,0:36
081-2,0,0,0:15,0:16
082-1,0,0,0:06,0:14
082-3,0,0,0:00,0:15
085-1,0,0,0:07,0:08
085-1,1,0,0:14,0:15
085-1,2,0,0:17,0:17
085-1,3,0,0:20,0:21
085-1,4,0,0:29,0:29
085-1,5,0,0:47,0:53
087-1,0,0,0:00,0:24
087-1,1,0,0:34,0:54
087-1,2,1,0:22,0:54
088-2,0,0,0:25,0:33
088-2,1,0,0:42,0:55
089-2,0,0,0:28,1:06
090-3,0,0,1:30,1:38
091-3,0,0,0:13,0:13
091-3,1,1,0:27,0:29
093-2,0,0,0:16,0:17
093-3,0,0,0:02,0:04
094-3,0,0,0:02,0:08
094-3,1,1,0:30,0:32
095-1,0,0,0:06,0:19
095-3,0,0,0:06,0:19
096-1,0,0,0:18,0:20
096-2,0,0,0:00,0:20
096-3,0,0,0:03,0:06
097-3,0,0,0:00,0:14
097-3,0,1,0:15,0:15
099-1,0,0,0:09,0:10
099-1,1,0,0:29,0:31
099-1,2,0,1:20,1:23
099-1,3,1,0:00,0:01
099-1,4,1,0:05,0:08
099-1,5,1,0:12,0:17
099-1,6,1,0:19,0:20
099-1,7,1,0:22,0:27
099-1,8,1,0:31,0:32
099-1,9,1,0:44,0:46
099-1,10,1,1:11,1:20
099-1,11,2,0:18,0:19
099-1,12,2,0:20,0:21
099-1,13,2,0:38,0:41
099-1,14,2,0:48,0:58
099-1,15,3,0:10,0:12
099-1,16,3,0:15,0:15
099-1,17,4,0:08,0:08
099-1,18,4,0:27,0:29
099-1,19,5,0:17,0:18
099-2,0,0,1:15,1:19
101-1,0,0,0:00,0:02
101-1,1,0,0:04,0:06
101-1,2,0,0:09,0:11
101-1,3,0,0:14,0:30
101-1,4,0,0:33,0:36
101-1,5,0,0:38,0:46
101-2,0,0,0:12,0:15
101-2,1,0,0:36,0:42
102-1,0,0,0:04,0:05
102-1,1,0,0:10,1:14
102-3,0,0,0:00,0:01
102-3,1,1,0:02,0:02
102-3,2,1,0:05,0:08
102-3,3,1,0:20,0:21
102-3,4,1,0:39,0:42
102-3,5,1,0:50,1:00
102-3,6,1,1:02,1:07
102-3,7,1,1:09,1:09
102-3,8,2,0:03,0:04
102-3,9,2,0:09,0:12
102-3,10,2,0:19,0:19
102-3,11,2,0:24,0:25
102-3,12,2,0:30,0:32
102-3,13,2,0:37,0:38
102-3,14,2,0:43,0:45
102-3,15,2,0:46,0:49
102-3,16,2,1:01,1:01
102-3,17,2,1:08,1:08
102-3,18,2,1:10,1:19
104-3,0,0,0:00,0:03
104-3,1,0,0:21,0:21
104-3,2,0,0:25,0:27
105-1,0,0,0:00,0:12
105-3,0,0,0:00,0:06
105-3,1,0,0:08,0:12
105-3,2,0,0:15,0:15
105-3,3,1,0:07,0:07
105-3,4,1,0:16,0:16
105-3,5,2,0:13,0:14
105-3,6,2,0:20,0:20
105-3,7,2,0:30,0:30
105-3,8,2,0:35,0:35
105-3,9,2,0:43,0:45
105-3,10,3,0:17,0:17
105-3,11,3,0:23,0:23
105-3,12,4,0:18,0:18
105-3,13,4,0:19,0:19
105-3,14,4,0:37,0:39
105-3,15,5,0:21,0:22
105-3,16,6,0:24,0:24
105-3,17,6,0:31,0:34
105-3,18,7,0:27,0:29
105-3,19,8,0:36,0:36
105-3,20,9,0:40,0:41
105-3,21,10,0:42,0:42
105-3,22,11,0:46,0:46
105-3,23,12,0:47,0:48
108-1,0,0,0:18,0:27
108-2,0,0,0:41,0:42
109-2,0,0,0:20,0:23
109-2,1,0,0:39,0:43
110-1,0,0,0:00,0:04
110-1,1,0,0:20,0:28
111-2,0,0,0:07,0:15
111-2,0,0,0:50,0:56
111-3,0,0,0:05,0:14
112-3,0,0,0:39,0:42
112-3,1,0,0:45,0:47
112-3,2,1,0:51,0:52
112-3,3,2,0:53,1:01
112-3,4,2,1:07,1:08
114-2,0,0,0:45,1:29
115-1,0,0,0:02,1:48
116-3,0,0,0:21,0:38
116-3,1,0,0:56,1:22
121-3,0,0,0:19,0:23
122-1,0,0,0:39,0:48
122-2,0,0,0:35,0:54
122-3,0,0,0:14,0:35
123-1,0,0,0:33,0:42
123-2,0,0,1:53,1:57
124-3,0,0,0:00,0:07
124-3,1,0,0:35,0:48
125-1,0,0,0:26,0:29
125-3,0,0,0:39,0:56
126-1,0,0,0:01,0:27
126-3,0,0,0:19,0:24
127-1,0,0,0:28,0:33
127-1,1,0,1:10,1:39
127-2,0,0,1:10,1:15
127-2,1,0,1:18,1:20
127-2,2,0,1:35,1:39
127-2,3,1,0:28,0:33
127-2,4,1,1:10,1:39
128-3,0,0,0:00,0:16
129-3,0,0,0:23,0:29
130-3,0,0,0:18,0:25
133-3,0,0,0:03,0:11
134-1,0,0,0:02,0:05
135-1,0,0,0:00,0:01
135-1,1,0,0:03,0:04
135-1,2,0,0:06,0:06
135-1,3,0,0:08,0:08
135-1,4,0,0:11,0:11
135-1,5,0,0:14,0:20
135-1,6,0,0:22,0:24
135-1,7,0,0:27,0:27
135-1,8,0,0:29,0:29
136-3,0,0,0:38,0:39
137-2,0,0,0:13,0:40
137-3,0,0,0:07,0:07
137-3,1,1,0:10,0:10
137-3,2,2,0:44,0:44
137-3,3,3,0:47,0:47
137-3,4,4,0:48,0:48
138-1,0,0,0:00,0:30
138-3,0,0,0:01,0:01
138-3,1,1,0:08,0:08
138-3,2,2,0:16,0:16
139-2,0,0,0:02,0:13
140-1,0,0,0:00,0:42
141-1,0,0,0:15,0:17
142-1,0,0,0:00,0:14
143-2,0,0,0:07,0:12
143-2,1,0,0:17,0:31
143-3,0,0,0:00,0:09
145-1,0,0,0:21,0:41
147-1,0,0,0:13,0:14
147-1,1,0,0:15,0:15
147-1,2,0,0:16,0:16
147-1,3,0,0:17,0:17
147-1,4,0,0:18,0:18
147-1,5,0,0:19,0:19
147-1,6,0,0:20,0:20
147-1,7,0,0:23,0:23
147-1,8,0,0:24,0:24
147-1,9,1,0:25,0:26
147-1,10,1,0:27,0:28
147-1,11,1,0:29,0:29
147-1,12,1,0:30,0:30
147-1,13,1,0:31,0:31
147-1,14,1,0:33,0:33
147-1,15,2,0:34,0:34
147-1,16,2,0:36,0:36
147-1,17,2,0:37,0:37
147-1,18,2,0:38,0:38
147-1,19,2,0:39,0:39
147-1,20,2,0:40,0:40
147-1,21,2,0:41,0:41
147-1,22,3,0:43,0:44
147-1,23,3,0:45,0:47
147-1,24,3,0:48,0:48
147-1,25,3,0:50,0:50
147-1,26,3,0:51,0:51
147-1,27,4,0:52,0:52
147-1,28,4,0:53,0:53
147-1,29,4,0:55,0:55
147-1,30,4,0:56,0:56
147-1,31,5,0:58,0:58
147-1,32,5,0:59,0:59
147-1,33,5,1:00,1:00
147-1,34,5,1:01,1:01
147-1,35,6,1:04,1:04
147-1,36,6,1:05,1:05
147-1,37,6,1:06,1:06
147-1,38,6,1:07,1:07
147-1,39,6,1:09,1:10
147-1,40,7,1:08,1:08
147-3,0,0,0:22,0:23
148-1,0,0,0:09,0:14
148-1,1,0,0:22,0:57
149-1,0,0,0:42,0:47
149-1,1,0,0:50,0:59
150-2,0,0,1:31,1:55
151-2,0,0,0:00,0:05
151-2,1,0,0:29,0:34
151-3,0,0,0:37,0:42
152-2,0,0,0:01,0:05
152-2,1,0,0:39,0:45
153-2,0,0,1:36,1:37
153-3,0,0,1:27,1:28
153-3,1,0,1:33,1:34
154-1,0,0,0:03,0:24
154-3,0,0,0:00,1:00
155-3,0,0,0:15,0:15
155-3,1,0,0:25,0:26
155-3,2,0,0:31,0:33
155-3,3,1,0:37,0:41
155-3,4,1,0:48,0:54
155-3,5,2,1:03,1:05
155-3,6,2,1:11,1:17
155-3,7,3,0:02,0:04
155-3,8,3,1:26,1:29
155-3,9,3,1:33,1:47
156-2,0,0,0:58,1:02
157-2,0,0,0:19,0:26
158-1,0,0,1:03,1:04
158-2,0,0,0:09,0:10
158-2,1,0,0:49,0:50
158-2,2,0,0:53,0:55
160-1,0,0,0:05,0:11
160-1,1,1,0:14,0:26
160-2,0,0,0:51,0:54
161-3,0,0,0:01,0:03
162-1,0,0,0:00,0:36
162-2,0,0,0:36,0:39
162-3,0,0,0:09,0:09
162-3,1,1,0:10,0:11
162-3,2,2,0:37,0:39
163-3,0,0,0:40,0:42
165-2,0,0,0:02,0:14
166-2,0,0,0:56,1:03
166-2,1,0,1:07,1:44
168-1,0,0,0:00,0:16
168-1,1,1,0:16,0:29
168-1,2,2,0:30,0:36
168-2,0,0,0:06,0:07
168-2,1,1,0:25,0:26
168-2,2,2,0:34,0:34
169-1,0,0,0:00,1:01
171-1,0,0,0:13,0:34
171-2,0,0,0:32,0:34
171-3,0,0,0:14,0:33
171-3,1,0,0:43,0:47
172-3,0,0,1:03,1:09
173-1,0,0,0:43,0:46
174-1,0,0,0:00,0:09
174-1,1,0,1:20,1:23
174-2,0,0,0:10,0:10
174-2,1,0,0:40,0:40
175-1,0,0,0:01,0:02
175-1,1,1,0:11,0:12
175-1,2,2,0:22,0:23
175-1,3,3,0:32,0:34
176-1,0,0,1:25,1:32
176-3,0,0,1:18,1:20
177-1,0,0,0:00,1:16
177-2,0,0,0:00,1:15
177-2,1,0,1:21,1:38
177-3,0,0,1:09,1:11
177-3,1,0,1:34,1:38
178-3,0,0,0:00,0:03
178-3,1,0,0:25,1:17
179-1,0,0,0:01,0:40
179-2,0,0,0:19,0:33
179-3,0,0,0:33,0:39
179-3,1,0,0:47,0:52
180-1,0,0,0:00,0:17
180-2,0,0,0:16,0:17
180-3,0,0,0:41,0:42
181-1,0,0,0:04,1:32
181-2,0,0,0:26,0:32
181-2,1,0,0:35,0:56
181-2,2,0,0:58,1:03
181-2,3,0,1:05,1:32
183-1,0,0,0:21,0:26
183-1,1,0,0:29,0:31
183-1,2,0,0:35,0:38
183-1,3,0,0:40,0:44
183-1,4,0,0:47,1:11
185-1,0,0,0:15,1:58
185-3,0,0,0:00,0:37
186-2,0,0,0:09,0:56
187-2,0,0,0:16,0:18
187-2,1,0,0:24,0:27
187-3,0,0,0:17,0:19
188-1,0,0,0:21,0:23
188-3,0,0,0:15,0:38
190-2,0,0,0:32,0:34
190-2,1,0,0:39,0:40
190-2,2,0,0:46,0:50
190-3,0,0,0:47,0:57
192-1,0,0,0:02,0:02
192-1,1,0,0:16,0:17
192-1,2,0,0:54,0:54
192-1,3,0,1:11,1:12
192-1,4,0,1:40,1:42
192-3,0,0,0:00,0:02
192-3,1,0,0:07,0:10
192-3,2,0,0:13,0:14
192-3,3,0,0:22,0:23
192-3,4,0,0:28,0:29
192-3,5,0,0:31,0:33
192-3,6,0,0:36,0:37
192-3,7,0,0:40,0:41
192-3,8,0,0:43,0:46
192-3,9,0,0:48,0:50
192-3,10,0,0:54,0:58
192-3,11,0,1:01,1:02
192-3,12,0,1:05,1:09
192-3,13,0,1:12,1:15
192-3,14,0,1:17,1:18
192-3,15,0,1:22,1:24
192-3,16,0,1:30,1:30
192-3,17,0,1:35,1:36
192-3,18,0,1:42,1:44
193-2,0,0,1:14,1:45
193-3,0,0,0:23,0:29
194-2,0,0,0:04,0:32
194-3,0,0,0:03,0:06
194-3,1,1,1:04,1:08
194-3,2,2,0:00,0:03
195-2,0,0,0:02,0:04
196-2,0,0,0:02,0:02
196-2,1,0,0:05,0:24
196-2,2,0,0:26,0:33
196-2,3,0,0:35,0:39
196-2,4,0,0:41,0:49
196-2,5,0,0:51,0:53
196-2,6,0,1:00,1:03
196-2,7,0,1:08,1:09
196-2,8,0,1:11,1:11
196-2,9,0,1:13,1:16
196-2,10,0,1:18,1:18
196-2,11,0,1:22,1:22
196-2,12,0,1:26,1:31
197-1,0,0,0:00,0:39
197-1,1,0,0:48,1:30
198-1,0,0,0:30,0:45
198-2,0,0,0:01,0:30
198-2,1,0,0:46,0:47
198-2,2,0,0:50,0:53
201-1,0,0,0:00,0:16
202-1,0,0,1:10,1:14
203-2,0,0,0:25,0:36
203-3,0,0,0:25,0:28
203-3,1,0,0:30,0:33
203-3,2,0,0:55,1:03
204-3,0,0,0:30,0:33
204-3,1,1,0:57,1:04
205-3,0,0,0:02,0:35
207-1,0,0,0:17,1:41
208-1,0,0,0:10,0:26
208-1,1,0,0:29,0:33
208-1,2,0,0:37,0:37
208-1,3,0,0:39,0:39
208-1,4,0,0:43,0:47
208-1,5,0,0:49,0:54
208-1,6,0,0:58,1:01
208-1,7,0,1:05,1:07
208-1,8,0,1:09,1:10
208-1,9,0,1:12,1:18
208-1,10,0,1:21,1:32
208-1,11,0,1:36,1:37
208-2,0,0,0:39,0:40
209-2,0,0,0:00,0:53
213-1,0,0,0:59,0:59
213-2,0,0,0:38,0:44
217-1,0,0,0:00,0:53
218-3,0,0,0:14,0:20
218-3,1,0,0:34,0:42
219-1,0,0,0:02,0:52
221-2,0,0,0:33,0:35
221-2,1,0,0:40,0:52
222-2,0,0,0:33,0:35
224-2,0,0,0:09,0:11
224-2,1,0,0:33,0:34
224-3,0,0,0:03,0:03
224-3,1,1,0:04,0:06
224-3,2,2,0:10,0:11
224-3,3,3,0:19,0:22
226-1,0,0,0:00,0:20
226-1,1,1,0:20,1:04
226-1,2,2,1:04,1:35
226-3,0,0,0:16,0:20
226-3,1,1,1:02,1:04
226-3,2,2,1:35,1:40
227-1,0,0,0:12,0:13
227-3,0,0,1:18,1:26
228-1,0,0,0:02,0:03
230-2,0,0,0:48,0:58
231-2,0,0,0:13,0:14
231-2,1,1,0:15,0:17
231-2,2,1,0:21,0:24
234-1,0,0,0:12,0:21
234-3,0,0,0:50,0:59
235-3,0,0,0:14,0:23
240-3,0,0,0:26,0:27
242-1,0,0,0:08,0:17
242-1,1,1,0:30,0:40
242-1,2,2,0:40,0:46
242-1,3,3,0:46,0:50
242-1,4,4,0:58,1:06
242-1,5,5,1:06,1:18
242-1,6,6,1:22,1:25
242-3,0,0,0:00,1:47
243-2,0,0,0:03,0:13
243-2,1,0,0:21,0:27
243-2,2,1,0:14,0:19
243-2,3,2,0:27,0:31
243-2,4,2,0:40,0:48
243-2,5,2,0:58,1:29
243-2,6,3,0:32,0:38
243-2,7,4,0:50,0:58
244-2,0,0,0:30,0:31
245-1,0,0,0:57,1:10
246-1,0,0,0:00,1:00
246-3,0,0,0:55,1:00
247-3,0,0,0:50,0:51
248-2,0,0,0:06,0:13
248-2,1,1,0:13,0:24
248-2,2,2,0:24,0:33
248-2,3,3,0:33,0:41
248-3,0,0,0:35,0:41
249-2,0,0,0:02,0:09
249-3,0,0,0:42,0:48
250-3,0,0,0:13,0:13
250-3,1,0,0:15,0:16
250-3,2,0,0:18,0:27
250-3,3,0,0:30,0:31
250-3,4,0,0:33,0:35
250-3,5,0,0:39,0:39
250-3,6,0,0:44,0:46
250-3,7,0,0:51,0:52
250-3,8,0,1:06,1:07
251-3,0,0,0:21,0:29
251-3,1,1,0:29,0:38
252-2,0,0,0:07,0:15
252-2,1,1,0:21,0:23
252-3,0,0,0:54,1:01
254-1,0,0,0:14,0:15
254-1,1,0,1:32,1:33
255-2,0,0,0:36,0:43
255-2,1,1,1:18,1:19
255-2,2,2,1:32,1:32
255-3,0,0,1:21,1:25
256-2,0,0,0:21,0:25
257-3,0,0,1:14,1:15
258-2,0,0,0:51,0:54
258-3,0,0,1:01,1:04
259-3,0,0,0:34,0:35
261-1,0,0,0:01,0:03
261-2,0,0,0:00,0:03
261-3,0,0,0:19,0:22
261-3,1,1,0:17,0:18
261-3,2,2,0:23,0:24
262-2,0,0,0:25,0:25
262-3,0,0,0:36,0:37
263-3,0,0,0:51,0:56
264-1,0,0,0:18,0:19
264-2,0,0,0:18,0:19
264-3,0,0,0:26,0:26
265-2,0,0,0:01,0:02
265-3,0,0,0:47,0:51
266-3,0,0,0:50,0:51
267-3,0,0,0:05,0:08
267-3,1,0,0:14,0:18
267-3,2,0,0:22,0:23
267-3,3,0,0:39,0:42
267-3,4,0,0:45,0:46
267-3,5,0,0:56,0:59
267-3,6,0,1:02,1:02
267-3,7,0,1:04,1:04
267-3,8,0,1:09,1:12
267-3,9,0,1:23,1:23
267-3,10,0,1:29,1:31
268-2,0,0,0:07,0:10
271-2,0,0,0:00,0:28
272-2,0,0,0:15,0:38
272-3,0,0,0:00,0:39
273-1,0,0,0:00,0:01
273-3,0,0,0:00,0:00
273-3,1,0,0:07,0:12
273-3,2,0,0:18,0:32
274-1,0,0,0:00,1:06
275-2,0,0,0:00,0:28
276-3,0,0,0:00,0:04
276-3,1,0,0:05,0:53
278-1,0,0,0:00,0:52
278-3,0,0,0:53,1:11
279-2,0,0,0:09,1:23
279-3,0,0,0:00,1:23
281-1,0,0,0:17,0:29
281-2,0,0,0:05,0:58
281-3,0,0,0:53,0:58
282-1,0,0,0:29,0:30
283-3,0,0,0:20,0:22
283-3,1,1,0:29,0:31
285-3,0,0,1:09,1:17
285-3,1,1,1:21,1:27
286-3,0,0,1:02,1:42
287-2,0,0,0:18,0:26
287-2,1,0,0:27,0:34
287-2,2,0,0:38,0:47
287-2,3,0,0:58,1:06
287-2,4,0,1:10,1:13
287-2,5,0,1:25,1:30
288-2,0,0,0:10,0:57
289-3,0,0,0:24,0:25
289-3,1,1,0:51,0:56
301-3,0,0,4:35,5:23
303-1,0,0,1:31,1:37
304-1,0,0,2:54,3:08
304-3,0,0,5:25,5:28
304-3,1,0,5:44,6:19
304-3,2,0,7:25,7:33
305-1,0,0,0:24,0:30
306-2,0,0,1:25,1:26
306-2,1,1,1:27,1:29
306-3,0,0,3:49,3:58
307-1,0,0,2:22,2:25
307-1,1,1,2:53,2:56
307-2,0,0,0:38,0:41
307-2,1,1,4:48,4:57
308-1,0,0,0:20,0:25
308-2,0,0,3:06,3:15
309-1,0,0,0:21,0:29
309-1,1,0,0:43,0:51
309-1,2,0,1:09,1:12
309-1,3,0,1:30,1:33
309-1,4,0,1:36,1:37
309-1,5,0,1:58,2:01
309-1,6,0,2:23,2:29
309-1,7,0,2:34,2:42
309-1,8,0,3:06,3:09
309-1,9,0,3:15,3:18
309-1,10,0,3:24,3:26
309-1,11,0,3:45,3:50
309-1,12,0,4:03,4:04
309-1,13,0,4:33,4:35
309-1,14,0,4:55,4:56
309-1,15,0,4:57,5:01
309-1,16,0,5:12,5:27
310-1,0,0,3:31,3:37
311-1,0,0,2:58,3:00
311-1,1,1,3:07,3:12
311-2,0,0,1:11,1:17
311-2,1,1,1:28,1:42
311-2,2,2,1:43,1:59
311-3,0,0,3:42,3:45
311-3,1,1,3:57,4:01
311-3,2,2,4:14,4:19
312-2,0,0,2:00,2:06
313-2,0,0,0:45,0:50
313-3,0,0,0:39,4:44
315-2,0,0,1:28,1:28
315-2,1,1,1:29,1:30
315-2,2,2,1:31,1:32
315-3,0,0,0:11,0:17
315-3,1,1,4:48,4:52
315-3,2,2,3:48,3:51
316-1,0,0,0:09,0:23
316-1,1,0,0:38,0:49
316-1,2,0,1:35,2:51
316-1,3,0,3:49,4:53
316-1,4,0,4:58,5:06
316-1,5,0,6:03,7:37
316-2,0,0,4:33,4:46
317-2,0,0,4:11,4:33
317-2,1,0,6:36,6:50
317-3,0,0,0:36,2:36
317-3,1,1,3:46,4:22
317-3,2,2,4:49,5:04
317-3,3,3,5:04,5:43
318-1,0,0,0:22,0:44
321-2,0,0,0:04,0:07
321-2,1,1,2:06,2:11
321-2,2,2,5:00,5:00
323-2,0,0,4:54,5:04
323-3,0,0,0:52,0:57
323-3,1,1,3:36,3:40
323-3,2,2,5:51,5:57
325-2,0,0,10:15,10:22
325-3,0,0,13:39,13:40
326-2,0,0,3:32,3:34
327-2,0,0,0:50,0:57
327-2,1,1,4:10,4:15
327-2,2,2,4:28,4:33
327-3,0,0,4:00,4:17
330-2,0,0,3:33,3:39
330-3,0,0,7:04,7:35
332-1,0,0,0:24,0:25
332-1,1,1,4:59,5:08
332-1,2,2,3:54,3:59
333-1,0,0,1:23,1:26
333-2,0,0,3:04,3:11
334-3,0,0,0:34,0:35
